EVI,NDVI,date,gid,name
1010.58661737045,2886.7221248038145,2000-08-28T00:00:00,3,C
1310.320452261367,3019.416133109574,2000-08-28T00:00:00,4,D
1648.2151565684562,4111.516933645949,2000-08-28T00:00:00,5,E
1616.7253982925195,2983.061781919721,2000-08-28T00:00:00,6,F/S
1770.937460551319,4150.312307060088,2000-08-28T00:00:00,7,G/S
2002.5967497364986,2989.6236300938963,2000-08-28T00:00:00,8,F/N
1208.5719502586478,2360.8699394568257,2000-08-28T00:00:00,9,G/N
2434.7114906485267,3605.0091134468407,2000-08-28T00:00:00,10,N
3147.483582809464,5159.335611308508,2000-08-28T00:00:00,11,R/C
2636.205458459593,4810.784486675642,2000-08-28T00:00:00,22,R/S
1969.7182386844136,3890.033042619752,2000-08-28T00:00:00,23,H/W
1773.5591736426566,3024.162632385071,2000-08-28T00:00:00,24,L
2176.886005404819,3202.9866538926253,2000-08-28T00:00:00,12,S
3046.8249236035435,4205.542171382582,2000-08-28T00:00:00,13,T
2328.5620089275053,3697.503065350215,2000-08-28T00:00:00,14,K/W
2903.221377738289,4391.410108117932,2000-08-28T00:00:00,15,R/N
2716.813718950252,4260.431053155944,2000-08-28T00:00:00,16,M/E
2412.053077653049,3353.2393253130213,2000-08-28T00:00:00,17,M/W
2203.554831281912,3175.7176994332344,2000-08-28T00:00:00,18,H/E
2108.369207074852,3417.8900077001113,2000-08-28T00:00:00,19,K/E
2901.770863114628,4960.909254010677,2000-08-28T00:00:00,20,P/S
2988.4286105245073,4731.86537807583,2000-08-28T00:00:00,21,P/N
1425.8694554795122,2713.798445290546,2000-09-13T00:00:00,1,A
882.878126242965,2055.878928657769,2000-09-13T00:00:00,2,B
1087.8801733991304,2417.051319053981,2000-09-13T00:00:00,3,C
1607.2036192308703,2937.451305234135,2000-09-13T00:00:00,4,D
1659.6867605172351,3601.3552711510383,2000-09-13T00:00:00,5,E
1793.008073692711,3891.079436582685,2000-09-13T00:00:00,6,F/S
1587.528087640435,3320.7254264600097,2000-09-13T00:00:00,7,G/S
2139.056184173154,4317.869423290268,2000-09-13T00:00:00,8,F/N
1745.0813184352326,3582.582654457066,2000-09-13T00:00:00,9,G/N
2824.4179286609947,5044.82119103315,2000-09-13T00:00:00,10,N
3437.407910733631,5318.944231305599,2000-09-13T00:00:00,11,R/C
2972.3957494354026,5157.901406027195,2000-09-13T00:00:00,22,R/S
2018.1198801064081,3815.9607663361135,2000-09-13T00:00:00,23,H/W
2445.102105165956,4315.7372731711175,2000-09-13T00:00:00,24,L
3099.971960550603,5377.892608345362,2000-09-13T00:00:00,12,S
3538.604568471205,6349.276193688094,2000-09-13T00:00:00,13,T
2393.151383392676,3963.5087789925688,2000-09-13T00:00:00,14,K/W
3038.2795073725324,4851.835945408933,2000-09-13T00:00:00,15,R/N
3449.760805686746,5516.7119899593445,2000-09-13T00:00:00,16,M/E
2701.6781151280884,4621.8324639039365,2000-09-13T00:00:00,17,M/W
2324.794296866366,4300.345337769386,2000-09-13T00:00:00,18,H/E
2700.485926485763,4604.992658934087,2000-09-13T00:00:00,19,K/E
3593.5345943910447,5518.151629533855,2000-09-13T00:00:00,20,P/S
3356.239123270481,5251.15033313139,2000-09-13T00:00:00,21,P/N
1580.7850604488451,3109.222577821291,2000-09-29T00:00:00,1,A
994.6819809771813,2204.2816302015844,2000-09-29T00:00:00,2,B
854.5847348784339,2065.873177033634,2000-09-29T00:00:00,3,C
1959.8385813662921,3320.720714117004,2000-09-29T00:00:00,4,D
1747.2963962106421,3324.3353762769093,2000-09-29T00:00:00,5,E
1517.1045922741475,2944.3238718876,2000-09-29T00:00:00,6,F/S
1676.6542568510029,3061.8152202498027,2000-09-29T00:00:00,7,G/S
1886.885774141227,3679.358655975439,2000-09-29T00:00:00,8,F/N
1611.0453245541607,2984.1092647594237,2000-09-29T00:00:00,9,G/N
2525.445721021448,4733.442262010733,2000-09-29T00:00:00,10,N
3339.94014827787,5857.7245429218665,2000-09-29T00:00:00,11,R/C
3174.0513965240193,5451.867684071123,2000-09-29T00:00:00,22,R/S
1869.2923431111317,3395.998414627996,2000-09-29T00:00:00,23,H/W
2206.041600694767,3873.129241771199,2000-09-29T00:00:00,24,L
2854.1037854843407,5302.188019068673,2000-09-29T00:00:00,12,S
3548.6493909492706,6022.721475744484,2000-09-29T00:00:00,13,T
2165.274009171247,4245.447639726375,2000-09-29T00:00:00,14,K/W
3217.7501608615303,5432.08792192839,2000-09-29T00:00:00,15,R/N
3137.999674086735,5490.758440073548,2000-09-29T00:00:00,16,M/E
2658.315332383756,4431.320372980399,2000-09-29T00:00:00,17,M/W
2139.951286363479,3985.5427792974897,2000-09-29T00:00:00,18,H/E
2434.015765607544,4340.785292686489,2000-09-29T00:00:00,19,K/E
3325.6997759748438,5758.023097353254,2000-09-29T00:00:00,20,P/S
2699.3599531804184,5240.2106955311765,2000-09-29T00:00:00,21,P/N
1436.303142034542,3086.4415630204426,2000-10-15T00:00:00,1,A
900.7643400561257,2120.509592410651,2000-10-15T00:00:00,2,B
931.6429630530664,2201.182626111793,2000-10-15T00:00:00,3,C
1237.3976449583733,2828.435370301451,2000-10-15T00:00:00,4,D
1168.8997603927712,2757.5334589441463,2000-10-15T00:00:00,5,E
1253.9852358814985,2756.403817831092,2000-10-15T00:00:00,6,F/S
1414.3025231412967,3255.416342059582,2000-10-15T00:00:00,7,G/S
1853.0200233980227,3483.1443252147133,2000-10-15T00:00:00,8,F/N
1438.0731265877598,2935.540676287311,2000-10-15T00:00:00,9,G/N
2212.82735608889,4253.7541824177015,2000-10-15T00:00:00,10,N
3123.1581606496434,5604.786552336311,2000-10-15T00:00:00,11,R/C
2744.779445668108,4830.0042609029415,2000-10-15T00:00:00,22,R/S
1616.5225870197846,3030.0820422875395,2000-10-15T00:00:00,23,H/W
1852.7755660380049,3438.244124811689,2000-10-15T00:00:00,24,L
